	Unnamed: 0	tweet_textual_content	len	ID	Date	Source	Likes	RTs	polarity
0	0	rt aladdin risk his life only for princess jasmine jafar	98	1140949244599160832	Tue Jun 18 11:47:52 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	676	0
1	1	rt yesung the rd mini album pinkmagic melon	143	1140949209593667584	Tue Jun 18 11:47:44 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	2684	0
2	2	thank you for showing me a whole new world of movie i wanna see aladdin again and again	134	1140949385330565120	Tue Jun 18 11:48:25 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	1
3	3	rt bts boy with luv mv feat halsey kst melon flo genie bugs mnet sori	140	1140948993716948992	Tue Jun 18 11:46:52 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	600	0
4	4	rt when aladdin said sometimes you just have to take a risk i did that	93	1140949072456515585	Tue Jun 18 11:47:11 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	377	1
5	5	rt will smith	92	1140948979527507970	Tue Jun 18 11:46:49 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	13938	0
6	6	rt bts music chart boywithluv b melon flo olleh genie	145	1140949404334972928	Tue Jun 18 11:48:30 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	52	0
7	7	erleben genie en und wohlf hlen im eigenen schwimmteich schwimmteich	118	1140949284868829185	Tue Jun 18 11:48:01 +0000 2019	"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>"	0	0	0
8	8	aladdin prince ali song comparison which is better disney hd youtube	104	1140949168199856128	Tue Jun 18 11:47:34 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	0	1
9	9	check out what i just added to my closet on poshmark simon chang colorful tropical genie style jumpsuit	130	1140949431191130112	Tue Jun 18 11:48:36 +0000 2019	"<a href=""http://poshmark.com/"" rel=""nofollow"">Poshmark</a>"	0	0	0
10	10	aladdin	20	1140949501483425793	Tue Jun 18 11:48:53 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2
11	11	rt jordan as a jewel of hollywood visitjordan shareyourjordan aladdin disney	140	1140949286844321799	Tue Jun 18 11:48:02 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	12	0
12	12	rt you do not need a genie to get stuff at the lowest prices visit the app for the best deals youwinwithjumia ht	140	1140949187313446912	Tue Jun 18 11:47:38 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	4	0
13	13	rt yo saliendo de ver aladdin	66	1140949236571353088	Tue Jun 18 11:47:50 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	6127	2
14	14	rt bts boy with luv mv feat halsey kst flo melon genie soribada bugs m	140	1140949510526402560	Tue Jun 18 11:48:55 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	193	0
15	15	rt aladdin risk his life only for princess jasmine jafar	98	1140949102882017282	Tue Jun 18 11:47:18 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	676	0
16	16	rt sommerluft genie en und v geln zuh ren	61	1140949174848053248	Tue Jun 18 11:47:35 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	4	2
17	17	rt yesung pinkmagic debuted at on genie congrats yeye	114	1140949523981672448	Tue Jun 18 11:48:58 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	3	0
18	18	a whole new world a dazzling place i never knew and woah that cutie genie	104	1140949520039079936	Tue Jun 18 11:48:58 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	1
19	19	rt youngk wanted to sing aladdin a whole new world with a girl who owns a clear voice and here he did	142	1140949015179063297	Tue Jun 18 11:46:57 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	1085	1
20	20	rt smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support	140	1140948911374442497	Tue Jun 18 11:46:32 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	6120	1
21	21	aladdin was amazing in case anyone was wondering	48	1140949305576034305	Tue Jun 18 11:48:06 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	1
22	22	rt pinkmagic digital stream melon	144	1140949395396890630	Tue Jun 18 11:48:28 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	107	0
23	23	rt yesung the rd mini album pinkmagic melon	143	1140949229625417738	Tue Jun 18 11:47:48 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	2684	0
24	24	rt aladdin risk his life only for princess jasmine jafar	98	1140949367601295360	Tue Jun 18 11:48:21 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	676	0
25	25	rt smiling because aladdin is the number movie in the uk for the th weekend in a row thanks so much for all your support	140	1140949474975653888	Tue Jun 18 11:48:47 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	6120	1
26	26	rt ausgerechnet das klimasch dlichste verkehrsmittel genie t umfangreiche steuerprivilegien der steuerrechtliche freiflug ist a	140	1140949184004145152	Tue Jun 18 11:47:37 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	17	2
27	27	rt army fighting c c gi i ti p theo ch ng ta p vote teen choice music awards m x genie music awards soribada b	144	1140948947252367361	Tue Jun 18 11:46:41 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	51	0
28	28	rt n flying rooftop has surpassed million streams on genie	81	1140949325339430914	Tue Jun 18 11:48:11 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	7	0
29	29	rt yam jam fig jam we got all the jams what jam is your jam aladdin	110	1140949133936611328	Tue Jun 18 11:47:25 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	3925	0
30	30	rt make way here he comes ring bells bang the drums you are gonna love this guy aladdin is coming to colne we are	142	1140949126735118337	Tue Jun 18 11:47:24 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	4	0
31	31	rt one of the most inspirational father amp son scenes from will smith and jaden smith	123	1140949164760674305	Tue Jun 18 11:47:33 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	16108	1
