,Text,Polarity
0,watching men in black international,0
1,men in black as it claims no,-1
2,what time line is this where a godzilla film featuring mothra rodan and ghidorah is performing better than men in black or,-1
3,i had to google the difference between mib and mb strange that i had never heard of mebibytes befor,-1
4,mib that was awesome mibinternational,1
5,men in black international takes box office top spot boxoffice,1
6,i am in love with the double fine les twins they were phenomenal in mib international super talented and out of,1
7,what does it take to suit up for men in black international chris hemsworth trainer amp centr expert luke zocchi reveals c,0
8,men in black international takes box office top spot boxoffice,1
10,box office men in black international shaft add to summer sequel slump,-1
11,mib international amc veterans in tampa fl,0
12,what if everyone was an mib agent mibinternational what if everyone was a cop shaft podcast,0
13,box office men in black international wins a weak weekend of underperforming sequels via,-1
14,mib that was awesome mibinternational,1
15,i ve got a list of movies mib will have to wait aftr aladdin dark phoenix lion king mib,0
16,celebrate fathersday with mib no suit needed see it in theaters now,0
18,the mib trailer was absolutely terrible i m not surprised to hear people aren t enjoying the movie i don t think t,1
19,so basically tessa thompson in her mib suit carrying dragonfang,0
20,attn not every movie needs a sequel or remake of course i have not seen a mib movie since mib,-1
21,boxoffice men in black takes the top spot in another disappointing weekend darkphoenix meninblack,0
24,box office report what india vs pakistan meant for gameover mibinternational ticket sales https,-1
25,it been years since the first men in black film,0
29,men in black and the battle between nostalgia and fatigue,-1
31,this week podcast features mibinternational rocketman iammother blackmirror agentsofshield comics an,0
32,extremely great article and interview of one of my favorite characters in a movie ever edgar from mib vincents saying h,1
33,right place right time mib,1
34,box office report men in black international claims soft dark phoenix falls hard,0
36,it is been a shitty year for movies so far dark phoenix hellboy men in black dead do not die were all terrible b,-1
37,start your summer with mib see chris hemsworth and tessa thompson back together in theaters now,0
39,mib that was awesome mibinternational,1
40,i want to watch mib amp toy story in one day with my fave person,1
42,men in black international leads box office with muted million variety,0
43,the barajas weekend box office report men in black international million weekend domestic t,0
44,box office men in black international shaft add to summer sequel slump,-1
45,i love the original men in black how many bad sequels does hollywood have to make before realizing movie franchis,-1
47,sony had initially planned a jump street men in black crossover this ain t that mibinternational meninblack,0
49,box office weekend receipts men in black intl comes out strong despite rotten tomato and imdb score,0
50,mib didnt just disappoint it is foolish story why did tes agree to do this crap didnt she read the script,-1
52,the latest in sony pictures mib franchise earned million in its debut weekend coming in second is the se,0
53,men in black international arrived at the top of the box office this weekend but its black suits aren t as sharp as they o,-1
54,men in black domestic international box office takes the top spot despite being largely ignored as it looks to fi,-1
58,mib is a gift that keeps giving every day for me,1
59,men in black international ot different city same shit with valkyrie and thor,-1
60,just came back from men in black i will be sending more headers now and here a sneak peak on the next header template htt,0
61,it is men in black i am gonna cut it down to a normal length and put the unedited one on patreon prob,0
63,twitter level review of mib international it was reminiscent of the first mib movie enjoyable but just not,-1
64,mib that was awesome mibinternational,1
65,men in black international continues the summer box office sequel slump,-1
66,mib sequel in the works,0
68,mib that was awesome mibinternational,1
71,has just spoken with the mib and we can release our video on meninblackinternational here is a quick tast,0
73,love new new mib,1
76,men in black international alien dealership prank,0
79,is not the last mib ancient now and there was a long time between and,0
80,men in black international makes only million at box office dark p via,0
81,weekend box office men in black mib the secret life of pets secretlifeofpets aladdin aladdin toy,0
82,men in black international continues lackluster summer box office with million opening entertainment weekl,-1
83,box office what india vs pakistan meant for game over mib sales,0
84,we are continuing our fathers day celebration with men in black sunday june rd with special guest amp overseer leander mcewan,0
86,box office men in black international shaft add to summer sequel slump,-1
87,pm men in black international showing seats guests will receive a food credit for popcorn drinks and or candy p,0
89,just received my intergalactic immigration visa i am now a special mib agent protecting the earth from the scum o,0
91,hetties calling mib a boring movie bitch lmao issa gays only event yall can fuck off,-1
92,vid on mib international doing poorly and other poor performers,-1
93,apart from being quite funny and entertaining at times mib was quite bad thinly developed plot thinner character,-1
94,men in black international movie review via,0
95,start your summer with mib see chris hemsworth and tessa thompson back together in theaters now,0
96,watch men in black on flixano start free trial,0
97,men in black international has the worst opening ever for the franchise with just million,-1
98,i am saying the opposite a new non woke mib would sell like crazy i loved as a kid have not,1
100,start your summer with mib see chris hemsworth and tessa thompson back together on the largest imax screens i,0
